,Ensembl,Symbol,s22mo_AR_M-s22mo_C_M_logFC,s22mo_AR_M-s22mo_C_M_logCPM,s22mo_AR_M-s22mo_C_M_LR,s22mo_AR_M-s22mo_C_M_PValue,s22mo_AR_M-s22mo_C_M_Status,s22mo_AR_M-s22mo_C_M_Status,Description
876,ENSMUSG00000007659,Bcl2l1,0.51383869,4.6740713,15.348984715215,8.936894003412e-5,0.056381026648,NS,BCL2-like 1
1940,ENSMUSG00000020423,Btg2,0.501558529,4.0485042,15.340603501515,8.97662752944e-5,0.056381026648,NS,BTG anti-proliferation factor 2
13259,ENSMUSG00000090877,Hspa1b,0.558403414,3.0936972,15.136916206991,9.998882575376e-5,0.060184940702,NS,heat shock protein 1B
1297,ENSMUSG00000015944,Castor2,-0.335792123,6.5289242,14.166641452168,1.6731063324786e-4,0.092361744435,NS,cytosolic arginine sensor for mTORC1 subunit 2
9741,ENSMUSG00000045092,S1pr1,0.4183433,5.0291192,14.039396228675,1.790204100919e-4,0.092361744435,NS,sphingosine-1-phosphate receptor 1
12355,ENSMUSG00000073535,Gm5532,0.551400196,3.0884368,14.105506915914,1.7283703338658e-4,0.092361744435,NS,predicted gene 5532
13255,ENSMUSG00000090799,Klhl33,-0.362083485,7.124457,14.06782983678,1.7633414429977e-4,0.092361744435,NS,kelch-like 33
9996,ENSMUSG00000047061,Gm9817,0.474310473,5.3256916,13.688362132762,2.1578758572998e-4,0.107491981498,NS,predicted gene 9817
5797,ENSMUSG00000030103,Bhlhe40,-0.412260509,6.6211585,13.536627958837,2.3395235974337e-4,0.112655859628,NS,"basic helix-loop-helix family, member e40"
1363,ENSMUSG00000017009,Sdc4,0.453101223,4.4585129,13.403165322231,2.5120003701185e-4,0.113401116709,NS,syndecan 4
13496,ENSMUSG00000097239,Gm27029,1.293105694,1.1272475,13.426270924488,2.4812485822599e-4,0.113401116709,NS,"predicted gene, 27029"
10585,ENSMUSG00000051726,Kcnf1,0.985169908,3.3949176,13.031055423263,3.0636784169143e-4,0.134114843669,NS,"potassium voltage-gated channel, subfamily F, member 1"
1689,ENSMUSG00000019864,Rtn4ip1,0.363731917,4.4674988,12.881949958766,3.3176638526077e-4,0.140961682396,NS,reticulon 4 interacting protein 1
9472,ENSMUSG00000042895,Abra,0.379935537,8.7916392,12.787328448776,3.4897512901962e-4,0.144036991823,NS,actin-binding Rho activating protein
11111,ENSMUSG00000056749,Nfil3,0.758235495,4.9136159,12.623604823841,3.8090606735251e-4,0.152849140249,NS,"nuclear factor, interleukin 3, regulated"
1627,ENSMUSG00000019577,Pdk4,0.489800924,10.1788431,12.053500854633,5.1695204510586e-4,0.201834844422,NS,"pyruvate dehydrogenase kinase, isoenzyme 4"
2377,ENSMUSG00000021376,Tpmt,-0.773514473,1.2450066,11.720661435612,6.1809981562197e-4,0.234975524644,NS,thiopurine methyltransferase
11951,ENSMUSG00000067279,Ppp1r3c,0.8820851,8.768015,11.502705093147,6.9494978185634e-4,0.25741652689,NS,"protein phosphatase 1, regulatory subunit 3C"
4502,ENSMUSG00000027079,Clp1,0.616670211,2.1957506,11.402438265601,7.3347773621855e-4,0.264895484435,NS,"CLP1, cleavage and polyadenylation factor I subunit"
12465,ENSMUSG00000074622,Mafb,0.702726167,4.9952101,11.248239093901,7.9698589642883e-4,0.280811177069,NS,"v-maf musculoaponeurotic fibrosarcoma oncogene family, protein B (avian)"
7101,ENSMUSG00000033685,Ucp2,0.385623603,4.326642,11.139695022859,8.4499782980499e-4,0.284429494025,NS,"uncoupling protein 2 (mitochondrial, proton carrier)"
12019,ENSMUSG00000068392,Rnase13,-0.818324727,1.0021886,11.136107747226,8.4663354859869e-4,0.284429494025,NS,"ribonuclease, RNase A family, 13 (non-active)"
9824,ENSMUSG00000045730,Adrb2,0.566362864,3.71171,11.003225404889,9.0953472700628e-4,0.298616787871,NS,"adrenergic receptor, beta 2"
14187,ENSMUSG00000112449,Srp54b,-0.516873548,3.8814741,10.932727364848,9.4480308079482e-4,0.303302784559,NS,signal recognition particle 54B
4668,ENSMUSG00000027469,Tpx2,-0.59970504,3.3323438,10.792411690466,0.00101917015479084,0.317342209321,NS,"TPX2, microtubule-associated"
7324,ENSMUSG00000034570,Inpp5j,0.763550441,1.4514362,10.713061337096,0.00106381865588938,0.317342209321,NS,inositol polyphosphate 5-phosphatase J
9823,ENSMUSG00000045725,Prr15,-1.792973753,-1.1823931,10.714738847555,0.00106285458786921,0.317342209321,NS,proline rich 15
13761,ENSMUSG00000102329,Gm10851,-0.74753769,2.4061651,10.691298099285,0.00107640649707363,0.317342209321,NS,predicted gene 10851
11404,ENSMUSG00000059824,Dbp,-0.468498922,6.3407958,10.513141308968,0.00118528591319442,0.34245280604,NS,D site albumin promoter binding protein
4421,ENSMUSG00000026858,Miga2,0.373759269,4.4368751,10.274014803639,0.00134916896698282,0.382158723471,NS,mitoguardin 2
1229,ENSMUSG00000015312,Gadd45b,-0.315057959,4.5909561,10.089965632051,0.00149078886460014,0.406338413925,NS,growth arrest and DNA-damage-inducible 45 beta
3342,ENSMUSG00000024222,Fkbp5,0.814642038,6.5357419,10.115603087702,0.00147019317460979,0.406338413925,NS,FK506 binding protein 5
2232,ENSMUSG00000021025,Nfkbia,0.487310878,4.5292745,10.005192614688,0.00156099464199092,0.417594974041,NS,"nuclear factor of kappa light polypeptide gene enhancer in B cells inhibitor, alpha"
8359,ENSMUSG00000038526,Car14,0.404934772,4.715917,9.96235344619,0.00159773684532092,0.419652844864,NS,carbonic anhydrase 14
2180,ENSMUSG00000020900,Myh10,0.369739294,5.1867149,9.758323230885,0.00178512653409958,0.429798965193,NS,"myosin, heavy polypeptide 10, non-muscle"
6770,ENSMUSG00000032470,Mras,0.439620137,2.9627614,9.759691984308,0.00178379794437381,0.429798965193,NS,muscle and microspikes RAS
9530,ENSMUSG00000043415,Otud1,0.342838305,4.5307923,9.860280601412,0.00168885345207623,0.429798965193,NS,OTU domain containing 1
12918,ENSMUSG00000085148,Mir22hg,-0.352627932,5.0279732,9.825541312711,0.00172105042112975,0.429798965193,NS,Mir22 host gene (non-protein coding)
13994,ENSMUSG00000108037,Gm44597,-0.832865345,0.8173088,9.816582559725,0.00172945396262289,0.429798965193,NS,predicted gene 44597
8292,ENSMUSG00000038332,Sesn1,0.344321763,4.9198914,9.63956238637,0.00190430600914842,0.447557780594,NS,sestrin 1
12331,ENSMUSG00000073375,Lrrc30,0.461684831,6.592015,9.623675908555,0.00192084884375316,0.447557780594,NS,leucine rich repeat containing 30
10641,ENSMUSG00000052305,Hbb-bs,0.979077722,8.0634173,9.506038718424,0.00204796794968957,0.469602301607,NS,"hemoglobin, beta adult s chain"
632,ENSMUSG00000004951,Hspb1,0.342150306,7.3548673,9.326787898642,0.00225827867714633,0.486159453527,NS,heat shock protein 1
4248,ENSMUSG00000026473,Glul,0.560959351,8.4399986,9.3024767755,0.00228844267200944,0.486159453527,NS,glutamate-ammonia ligase (glutamine synthetase)
7975,ENSMUSG00000037242,Clic4,0.307880133,5.963845,9.314950669225,0.00227291498937067,0.486159453527,NS,chloride intracellular channel 4 (mitochondrial)
13435,ENSMUSG00000096764,Gm21985,1.675895935,-0.252995,9.324524316252,0.00226107010372528,0.486159453527,NS,predicted gene 21985
14150,ENSMUSG00000111291,Gm48604,-1.076559774,0.0434389,9.37707804089,0.00219715491516888,0.486159453527,NS,"predicted gene, 48604"
9711,ENSMUSG00000044854,1700056E22Rik,-1.325743876,-0.6066304,9.151682511547,0.00248489476057052,0.520243329148,NS,RIKEN cDNA 1700056E22 gene
11086,ENSMUSG00000056501,Cebpb,0.326313247,6.0924327,9.102527565249,0.00255256517091715,0.526776520844,NS,"CCAAT/enhancer binding protein (C/EBP), beta"
8127,ENSMUSG00000037820,Tgm2,0.265535686,6.486342,9.068041742111,0.00260115480820885,0.529243413512,NS,"transglutaminase 2, C polypeptide"
263,ENSMUSG00000001946,Esam,0.309268737,4.5831019,8.871363964922,0.00289678625041308,0.535816713564,NS,endothelial cell-specific adhesion molecule
1125,ENSMUSG00000013936,Myl2,0.364152379,7.2409878,8.875657987847,0.00288998062003293,0.535816713564,NS,"myosin, light polypeptide 2, regulatory, cardiac, slow"
3289,ENSMUSG00000024114,Prss41,-1.376619558,-0.7809915,8.850435491216,0.00293018969760408,0.535816713564,NS,"protease, serine 41"
4311,ENSMUSG00000026628,Atf3,0.68375921,3.0236711,8.913150826104,0.00283124350634258,0.535816713564,NS,activating transcription factor 3
7624,ENSMUSG00000035828,Pim3,0.286012022,5.5331319,8.979745007868,0.00272988741557034,0.535816713564,NS,proviral integration site 3
12086,ENSMUSG00000069662,Marcks,-0.31977313,3.9846807,8.888850249453,0.00286917351100198,0.535816713564,NS,myristoylated alanine rich protein kinase C substrate
13668,ENSMUSG00000099906,Lincmd1,1.145608381,1.4196117,8.968531998412,0.00274669197655428,0.535816713564,NS,long intergenic non-protein coding RNA of muscle differentiation 1
14267,ENSMUSG00000114635,Gm49392,-1.566375098,-0.9107402,8.926156426744,0.00281115307434382,0.535816713564,NS,"predicted gene, 49392"
13123,ENSMUSG00000087413,Gm11266,-0.692163116,1.9618587,8.635872022361,0.00329607429884659,0.595188616514,NS,predicted gene 11266
13868,ENSMUSG00000105055,Gm43079,-0.779827625,1.2334953,8.589635327462,0.00338081702781643,0.602954108442,NS,predicted gene 43079
32,ENSMUSG00000000282,Mnt,-0.327848741,3.9575359,8.535266396274,0.00348330343722495,0.608792873301,NS,max binding protein
4322,ENSMUSG00000026655,Fam107b,0.647064016,1.7648323,8.505891932994,0.00353998348036267,0.608792873301,NS,"family with sequence similarity 107, member B"
12433,ENSMUSG00000074221,Zfp568,0.328287202,3.8360559,8.509534245378,0.00353290476432444,0.608792873301,NS,zinc finger protein 568
9557,ENSMUSG00000043639,Rbm20,-0.255040345,6.5200865,8.460048802618,0.00363032115165018,0.616983757138,NS,RNA binding motif protein 20
10954,ENSMUSG00000055148,Klf2,0.518211444,3.9456357,8.389012289894,0.00377495984591714,0.63410546435,NS,Kruppel-like factor 2 (lung)
1685,ENSMUSG00000019856,Fam184a,-1.138700668,-0.4347584,8.231670319522,0.00411656258241609,0.668178236692,NS,"family with sequence similarity 184, member A"
7736,ENSMUSG00000036304,Zdhhc23,0.431948349,4.3140419,8.246027743403,0.0040841277857143,0.668178236692,NS,"zinc finger, DHHC domain containing 23"
14158,ENSMUSG00000111394,Gm49759,-0.419973995,3.8200032,8.272201317669,0.00402566676302907,0.668178236692,NS,"predicted gene, 49759"
3079,ENSMUSG00000023009,Nckap5l,-0.573265225,1.6286997,8.10813882886,0.00440669486408314,0.67120176411,NS,NCK-associated protein 5-like
3388,ENSMUSG00000024330,Col11a2,-0.379421121,3.3943001,8.132000764348,0.00434907285099308,0.67120176411,NS,"collagen, type XI, alpha 2"
5519,ENSMUSG00000029368,Alb,1.864132361,0.9763732,8.133037046046,0.0043465878800377,0.67120176411,NS,albumin
10013,ENSMUSG00000047205,Dusp18,0.515060165,5.2224608,8.171110949589,0.00425628294162852,0.67120176411,NS,dual specificity phosphatase 18
13014,ENSMUSG00000086320,Gm12840,0.845239027,1.0077888,8.08617109836,0.00446042983210192,0.67120176411,NS,predicted gene 12840
13408,ENSMUSG00000095690,Rab11b-ps2,1.030392076,-0.2099715,8.152080061496,0.0043011797796487,0.67120176411,NS,"RAB11B, member RAS oncogene family, pseudogene 2"
14195,ENSMUSG00000112734,Gm47644,0.63374523,1.4428938,8.087913360267,0.00445614385583518,0.67120176411,NS,"predicted gene, 47644"
3735,ENSMUSG00000025172,Ankrd2,0.658912715,7.4778384,8.039933730494,0.00457572108504953,0.681452234996,NS,ankyrin repeat domain 2 (stretch responsive muscle)
433,ENSMUSG00000003153,Slc2a3,-0.337826892,4.1198083,7.931626041181,0.00485781224244784,0.694811442123,NS,"solute carrier family 2 (facilitated glucose transporter), member 3"
3107,ENSMUSG00000023067,Cdkn1a,0.701214014,4.6770345,7.968893197626,0.0047588027378722,0.694811442123,NS,cyclin-dependent kinase inhibitor 1A (P21)
8126,ENSMUSG00000037818,Abhd18,0.369057647,3.2299401,7.946219389783,0.00481879376453051,0.694811442123,NS,abhydrolase domain containing 18
11327,ENSMUSG00000059013,Sh2d3c,0.35345182000000003,3.4994396,7.956089696938,0.00479258449378304,0.694811442123,NS,SH2 domain containing 3C
13010,ENSMUSG00000086290,Snhg12,-0.45105,2.509546,7.826668388794,0.00514809041499318,0.729110922892,NS,small nucleolar RNA host gene 12
1065,ENSMUSG00000011752,Pgam1,0.30393604,4.2245286,7.755749876987,0.00535418064263209,0.74235820029,NS,phosphoglycerate mutase 1
2878,ENSMUSG00000022546,Gpt,0.284517919,4.9087909,7.767627390522,0.00531908695113478,0.74235820029,NS,"glutamic pyruvic transaminase, soluble"
9210,ENSMUSG00000041773,Enc1,0.717914308,2.0104295,7.69091201987,0.00554995747136701,0.74235820029,NS,ectodermal-neural cortex 1
9406,ENSMUSG00000042607,Asb4,0.318732899,4.0643376,7.714707434137,0.00547727357054002,0.74235820029,NS,ankyrin repeat and SOCS box-containing 4
10843,ENSMUSG00000054061,Gm9934,0.989876584,0.1340917,7.691756102555,0.00554736244214026,0.74235820029,NS,predicted gene 9934
12709,ENSMUSG00000079108,Srp54c,0.271787377,4.695725,7.725177446561,0.00544560075439004,0.74235820029,NS,signal recognition particle 54C
14416,ENSMUSG00000118319,Gm2176,-1.152889033,0.1974954,7.672301055902,0.00560749024262908,0.743172514174,NS,predicted gene 2176
6652,ENSMUSG00000032238,Rora,-0.248364164,6.7561459,7.621976605407,0.0057661254434565,0.750427460866,NS,RAR-related orphan receptor alpha
12396,ENSMUSG00000073940,Hbb-bt,1.011682858,5.0332921,7.626209072905,0.00575260910708265,0.750427460866,NS,"hemoglobin, beta adult t chain"
12695,ENSMUSG00000079022,Col22a1,-0.329200056,4.0760666,7.578637352365,0.00590640726754732,0.761821065955,NS,"collagen, type XXII, alpha 1"
4287,ENSMUSG00000026575,Nme7,-0.270915079,4.3744849,7.534522880001,0.0060527764282895,0.773791223744,NS,NME/NM23 family member 7
2944,ENSMUSG00000022701,Ccdc191,-0.541733743,1.7904913,7.499388126177,0.00617199590467467,0.775310024686,NS,coiled-coil domain containing 191
9053,ENSMUSG00000041046,Ramp3,1.262076559,-0.5178293,7.509866106252,0.00613619329714353,0.775310024686,NS,receptor (calcitonin) activity modifying protein 3
13121,ENSMUSG00000087410,2310065F04Rik,-0.287537352,6.1544582,7.459379406362,0.00631067590357073,0.785896759508,NS,RIKEN cDNA 2310065F04 gene
8362,ENSMUSG00000038530,Rgs4,-0.387482012,3.2284131,7.436399840621,0.00639176262558515,0.789191477685,NS,regulator of G-protein signaling 4
13026,ENSMUSG00000086502,B130055M24Rik,1.091492315,-0.403141,7.396360074762,0.00653559901325695,0.800112401233,NS,RIKEN cDNA B130055M24 gene
865,ENSMUSG00000007476,Lrrc8a,0.339097974,3.6516606,7.296436990174,0.00690914877129629,0.818111173362,NS,leucine rich repeat containing 8A VRAC subunit A
8464,ENSMUSG00000038855,Itpkb,0.314247186,5.583316,7.299155312637,0.0068987035193279,0.818111173362,NS,"inositol 1,4,5-trisphosphate 3-kinase B"
10951,ENSMUSG00000055116,Arntl,0.371757989,3.4136308,7.30573080746,0.00687350359052203,0.818111173362,NS,aryl hydrocarbon receptor nuclear translocator-like
13251,ENSMUSG00000090698,Apold1,0.797206142,0.4641168,7.337213777077,0.006754144638684,0.818111173362,NS,apolipoprotein L domain containing 1
6331,ENSMUSG00000031523,Dlc1,0.305622817,4.8604916,7.259387826527,0.00705313293580195,0.828370393419,NS,deleted in liver cancer 1
12093,ENSMUSG00000069763,Tmem100,-0.386701584,4.8519589,7.244159224807,0.00711320143251253,0.828687966888,NS,transmembrane protein 100
12819,ENSMUSG00000081519,Gm13331,-0.84555882,0.3091745,7.226914462719,0.00718185400654905,0.829992503829,NS,predicted gene 13331
8032,ENSMUSG00000037411,Serpine1,0.575746138,4.5043509,7.159648612327,0.00745618020259126,0.85446262236,NS,"serine (or cysteine) peptidase inhibitor, clade E, member 1"
12218,ENSMUSG00000071379,Hpcal1,0.491467245,2.1147593,7.146297827684,0.00751188931467403,0.85446262236,NS,hippocalcin-like 1
10389,ENSMUSG00000050064,Zfp697,0.548019363,1.861347,7.095041010159,0.00772975232520012,0.872375016327,NS,zinc finger protein 697
12725,ENSMUSG00000079243,Xirp1,0.498967107,8.072051,7.051699600911,0.00791900780406907,0.886806098741,NS,xin actin-binding repeat containing 1
8531,ENSMUSG00000039103,Nexn,-0.289959729,9.0953165,6.919314365217,0.0085269663126486,0.947542733481,NS,nexilin
9663,ENSMUSG00000044469,Tnfaip8l1,1.270654887,-0.4509384,6.884127055242,0.00869645292894891,0.958999687111,NS,"tumor necrosis factor, alpha-induced protein 8-like 1"
1244,ENSMUSG00000015468,Notch4,0.299063098,4.3892122,6.808281629703,0.0090736040795249,0.978188690543,NS,notch 4
11034,ENSMUSG00000055994,Nod2,1.061633852,-0.281584,6.810493835563,0.00906236988748371,0.978188690543,NS,nucleotide-binding oligomerization domain containing 2
11596,ENSMUSG00000061877,BC048679,0.525926998,1.9348979,6.815714107142,0.00903591632950209,0.978188690543,NS,cDNA sequence BC048679
1564,ENSMUSG00000018927,Ccl6,0.43476643,2.8709192,6.78225195435,0.00920686606886361,0.985202868376,NS,chemokine (C-C motif) ligand 6
1,ENSMUSG00000000001,Gnai3,0.182364997,4.2585629,3.17602090166,0.07472649931736156,0.998859716387,NS,"guanine nucleotide binding protein (G protein), alpha inhibiting 3"
2,ENSMUSG00000000028,Cdc45,-0.039718506,1.2035533,0.032025985812,0.8579706363994971,0.998859716387,NS,cell division cycle 45
3,ENSMUSG00000000031,H19,0.23457242,8.3114229,2.55804225723,0.10973439736149328,0.998859716387,NS,"H19, imprinted maternally expressed transcript"
4,ENSMUSG00000000056,Narf,-0.00725473,6.742122,0.005979418361,0.9383636518488626,0.998859716387,NS,nuclear prelamin A recognition factor
5,ENSMUSG00000000058,Cav2,-0.072021433,4.3876066,0.504423596567,0.4775628541627997,0.998859716387,NS,caveolin 2
6,ENSMUSG00000000078,Klf6,0.187862144,5.2436942,3.001178102386,0.08320399369514214,0.998859716387,NS,Kruppel-like factor 6
7,ENSMUSG00000000085,Scmh1,0.031514097,5.0314604,0.110016289333,0.740125591395689,0.998859716387,NS,sex comb on midleg homolog 1
8,ENSMUSG00000000088,Cox5a,0.060850248,8.1858138,0.498938997932,0.47996668860130526,0.998859716387,NS,cytochrome c oxidase subunit 5A
9,ENSMUSG00000000093,Tbx2,-0.492672454,2.0821899,6.307305999199,0.01202414109630478,0.998859716387,NS,T-box 2
10,ENSMUSG00000000094,Tbx4,0.25282147,1.4853234,1.245100539846,0.2644903149282964,0.998859716387,NS,T-box 4
11,ENSMUSG00000000120,Ngfr,0.154858693,0.3747403,0.215591711213,0.642419539245855,0.998859716387,NS,"nerve growth factor receptor (TNFR superfamily, member 16)"
12,ENSMUSG00000000126,Wnt9a,0.055439514,4.0378175,0.236938860045,0.626425826360383,0.998859716387,NS,"wingless-type MMTV integration site family, member 9A"
13,ENSMUSG00000000127,Fer,0.055311197,3.4112218,0.180294141752,0.6711205815603842,0.998859716387,NS,fer (fms/fps related) protein kinase
14,ENSMUSG00000000131,Xpo6,-0.214152793,5.1396159,2.459016857618,0.11685190053431342,0.998859716387,NS,exportin 6
15,ENSMUSG00000000134,Tfe3,0.00881466,3.5178932,0.005125054601,0.9429286070342096,0.998859716387,NS,transcription factor E3
16,ENSMUSG00000000142,Axin2,-0.094820347,3.1161308,0.20637934411,0.6496201601362083,0.998859716387,NS,axin 2
17,ENSMUSG00000000148,Brat1,-0.021029836,3.1074667,0.023809303823,0.8773711180974744,0.998859716387,NS,BRCA1-associated ATM activator 1
18,ENSMUSG00000000149,Gna12,0.044560953,4.8115594,0.222694760648,0.6369942725763048,0.998859716387,NS,"guanine nucleotide binding protein, alpha 12"
19,ENSMUSG00000000154,Slc22a18,1.072243099,-1.1820996,2.838446795669,0.0920331359137374,0.998859716387,NS,"solute carrier family 22 (organic cation transporter), member 18"
20,ENSMUSG00000000168,Dlat,0.099826549,7.7285904,1.277688829569,0.2583292009670889,0.998859716387,NS,dihydrolipoamide S-acetyltransferase (E2 component of pyruvate dehydrogenase complex)
21,ENSMUSG00000000171,Sdhd,0.080215721,7.5630472,0.879359828152,0.34837707725564315,0.998859716387,NS,"succinate dehydrogenase complex, subunit D, integral membrane protein"
22,ENSMUSG00000000183,Fgf6,-0.164087666,1.9573552,0.598340252791,0.43921199644294384,0.998859716387,NS,fibroblast growth factor 6
23,ENSMUSG00000000184,Ccnd2,-0.072506025,3.1636812,0.132302842063,0.7160562211525489,0.998859716387,NS,cyclin D2
24,ENSMUSG00000000194,Gpr107,0.065854189,5.4116301,0.538127452344,0.4632098085918531,0.998859716387,NS,G protein-coupled receptor 107
25,ENSMUSG00000000197,Nalcn,0.804872858,-0.3404613,4.304092492315,0.03802077566521907,0.998859716387,NS,"sodium leak channel, non-selective"
26,ENSMUSG00000000223,Drp2,0.470105263,3.2970541,4.668624337665,0.03071852364516781,0.998859716387,NS,dystrophin related protein 2
27,ENSMUSG00000000253,Gmpr,-0.057899311,7.0537415,0.411129968591,0.5213965344534687,0.998859716387,NS,guanosine monophosphate reductase
28,ENSMUSG00000000266,Mid2,0.041606448,2.9076467,0.074540445756,0.7848371020612003,0.998859716387,NS,midline 2
29,ENSMUSG00000000275,Trim25,-0.058594591,3.9078471,0.292567371515,0.58857997622259,0.998859716387,NS,tripartite motif-containing 25
30,ENSMUSG00000000276,Dgke,-0.342081864,2.9862848,6.13499683968,0.01325317843149391,0.998859716387,NS,"diacylglycerol kinase, epsilon"
31,ENSMUSG00000000278,Scpep1,0.205281013,3.5809207,2.483827133705,0.11502206461907202,0.998859716387,NS,serine carboxypeptidase 1
33,ENSMUSG00000000290,Itgb2,0.298759208,1.822933,1.568804904091,0.21038065550719584,0.998859716387,NS,integrin beta 2
34,ENSMUSG00000000295,Hddc2,-0.12388786,2.3630818,0.486712338877,0.4853975316088123,0.998859716387,NS,HD domain containing 2
35,ENSMUSG00000000296,Tpd52l1,0.027012007,4.4418384,0.079842982573,0.7775103087284032,0.998859716387,NS,tumor protein D52-like 1
36,ENSMUSG00000000301,Pemt,0.139277509,0.1340104,0.166720847955,0.6830426900471787,0.998859716387,NS,phosphatidylethanolamine N-methyltransferase
37,ENSMUSG00000000303,Cdh1,-0.129980994,-0.182635,0.11480845321,0.7347348157560644,0.998859716387,NS,cadherin 1
38,ENSMUSG00000000305,Cdh4,-0.116110506,4.2634006,0.171806271797,0.6785114807621834,0.998859716387,NS,cadherin 4
39,ENSMUSG00000000317,Bcl6b,-0.057610515,2.2181109,0.054194772009,0.8159184941882651,0.998859716387,NS,"B cell CLL/lymphoma 6, member B"
40,ENSMUSG00000000318,Clec10a,0.095890255,2.7180724,0.361861672065,0.5474741240823627,0.998859716387,NS,"C-type lectin domain family 10, member A"
41,ENSMUSG00000000320,Alox12,0.168215629,1.197777,0.547221601309,0.4594551738031052,0.998859716387,NS,arachidonate 12-lipoxygenase
42,ENSMUSG00000000326,Comt,0.027598864,5.3575984,0.08795315825,0.7667955984106876,0.998859716387,NS,catechol-O-methyltransferase
43,ENSMUSG00000000339,Rtca,0.011938382,4.6222663,0.011202159346,0.9157090981502024,0.998859716387,NS,RNA 3'-terminal phosphate cyclase
44,ENSMUSG00000000340,Dbt,0.187899314,4.4359871,3.363388455067,0.06666077491625388,0.998859716387,NS,dihydrolipoamide branched chain transacylase E2
45,ENSMUSG00000000346,Dazap2,0.015836537,6.1621818,0.032583336084,0.8567533438891384,0.998859716387,NS,DAZ associated protein 2
46,ENSMUSG00000000355,Mcts1,-0.283427192,3.532949,5.687401127794,0.0170871419070686,0.998859716387,NS,malignant T cell amplified sequence 1
47,ENSMUSG00000000359,Rem1,-0.226556195,1.6515593,1.258449191809,0.2619448416567104,0.998859716387,NS,rad and gem related GTP binding protein 1
48,ENSMUSG00000000374,Trappc10,0.015302657,6.1163729,0.032045028823,0.857928865535295,0.998859716387,NS,trafficking protein particle complex 10
49,ENSMUSG00000000378,Ccm2,0.009383943,4.1339101,0.008236184088,0.9276885189979611,0.998859716387,NS,cerebral cavernous malformation 2
